0,1,2,3,4,5,6
163707,229,122,12.0,471,588,0.0
163901,230,122,12.0,471,589,-25.0
164085,231,122,12.0,471,590,-13.0
164223,232,122,12.0,471,591,-11.0
164371,233,122,12.0,471,592,0.0
164537,234,122,12.0,471,593,-5.0
165095,235,122,12.0,471,595,-85.0
165168,235,122,-10.0,472,595,-85.0
165654,235,123,0.0,473,597,78.0
165769,235,123,-10.0,474,598,78.0
165990,235,123,0.0,475,599,78.0
166200,235,123,0.0,476,601,78.0
166420,235,123,-10.0,477,601,78.0
166632,236,123,3.0,477,602,-10.0
166731,236,124,-60.0,478,602,100.0
166831,236,124,-23.0,479,603,59.0
167255,236,124,-16.0,480,605,59.0
167358,237,124,75.0,480,606,-40.0
167458,237,125,-6.0,481,606,100.0
167577,237,125,-10.0,482,607,100.0
167839,237,125,0.0,483,608,100.0
167990,237,125,-16.0,484,609,100.0
168136,237,125,-29.0,485,610,100.0
168237,237,125,-25.0,486,611,100.0
168351,237,125,0.0,487,612,100.0
168531,237,125,0.0,488,613,100.0
168634,237,125,-58.0,489,614,78.0
168909,237,125,0.0,490,615,78.0
169087,237,125,-61.0,491,616,78.0
169254,237,125,-20.0,492,617,78.0
169922,237,125,0.0,493,619,56.0
170122,237,125,0.0,494,620,9.0
170285,237,125,-22.0,495,621,9.0
170845,237,125,-16.0,496,623,9.0
170916,238,125,100.0,496,624,-13.0
171054,238,126,0.0,497,624,100.0
171055,239,126,0.0,497,624,-25.0
171320,239,127,0.0,498,625,100.0
171701,239,127,-4.0,499,627,59.0
171858,239,127,-22.0,500,628,59.0
171973,239,127,-4.0,501,629,59.0
172121,239,127,-4.0,502,630,59.0
172320,239,127,0.0,503,631,59.0
172748,240,127,75.0,503,633,-7.0
173036,240,128,-22.0,504,633,62.0
173514,240,128,0.0,505,635,40.0
173621,241,128,75.0,505,636,-4.0
173727,241,129,-13.0,506,637,100.0
173894,241,129,-42.0,507,637,46.0
174238,241,129,-13.0,508,638,46.0
174443,242,129,25.0,508,639,-29.0
174559,242,130,-26.0,509,639,100.0
175037,242,130,-19.0,510,641,100.0
175278,242,130,-1.0,511,642,34.0
175426,243,130,100.0,511,643,-10.0
175542,243,131,-10.0,512,643,100.0
175818,243,131,-19.0,513,644,100.0
176210,244,131,50.0,513,646,-42.0
176565,244,131,0.0,514,646,-42.0
176911,244,131,0.0,515,646,0.0
177215,244,131,-3.0,516,646,0.0
177578,244,131,0.0,517,646,0.0
177828,244,131,-38.0,518,646,0.0
178096,245,131,-38.0,518,646,-13.0
178324,245,131,-44.0,519,646,0.0
178510,245,133,-8.0,520,653,100.0
178646,246,133,-8.0,520,653,-10.0
179510,247,134,53.0,520,655,0.0
179758,247,134,-41.0,521,657,25.0
179860,248,135,100.0,521,657,-80.0
180091,249,135,34.0,521,658,-23.0
180329,250,135,34.0,521,659,0.0
180585,251,135,34.0,521,660,-16.0
180694,251,135,-51.0,522,661,75.0
180797,252,136,100.0,522,661,-31.0
180970,253,136,100.0,522,662,0.0
181186,254,136,100.0,522,663,-10.0
181317,255,136,20.0,522,664,0.0
181505,256,136,20.0,522,665,0.0
181619,256,136,-2.0,523,666,75.0
181747,257,137,100.0,523,666,0.0
181990,258,137,100.0,523,667,-24.0
182355,259,137,100.0,523,668,-86.0
182520,260,137,100.0,523,669,-75.0
183197,261,137,34.0,523,671,-25.0
183501,261,137,-10.0,524,671,-25.0
183746,262,138,100.0,524,673,-22.0
183857,263,138,100.0,524,674,-4.0
184081,264,138,100.0,524,675,-13.0
184452,265,138,53.0,524,676,0.0
184644,265,138,-17.0,525,676,0.0
185004,266,139,100.0,525,678,-7.0
185198,267,139,56.0,525,679,0.0
185342,268,139,56.0,525,680,-10.0
185604,268,139,-1.0,526,680,-10.0
186122,269,140,12.0,526,682,0.0
186330,270,140,12.0,526,683,-73.0
186572,270,140,-10.0,527,683,-73.0
187059,270,141,-1.0,528,685,100.0
187533,271,141,100.0,528,687,-11.0
