episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
1,78.0,-3.241,-7.111,12.0,-6.8,-7.1,0,1,0,1,0,1,0,0,0,0,0,1,0.08599999999999985,1.5000000000000009,0.052999999999999936,-0.09999999999999964,0,0.0,25000,25000
2,78.0,-3.003,-5.025,12.0,-8.1,-7.0,0,1,1,0,0,0,0,0,0,0,0,1,0.238,-1.2999999999999998,2.0859999999999994,0.09999999999999964,5,0.0,25000,25000
3,78.0,-4.139,-3.391,12.0,-9.6,-7.2,0,1,1,0,0,0,0,3,0,0,0,1,-1.1360000000000001,-1.5,1.6340000000000003,-0.20000000000000018,7,0.0,25000,25000
4,78.0,-5.647,-2.623,12.0,-9.8,-7.1,0,1,1,0,0,0,0,3,0,0,0,1,-1.508,-0.20000000000000107,0.7679999999999998,0.10000000000000053,7,0.0,25000,25000
5,78.0,-6.512,-2.566,12.0,-9.4,-7.0,0,1,1,0,0,0,0,3,0,0,1,0,-0.8649999999999993,0.40000000000000036,0.057000000000000384,0.09999999999999964,3,0.0,25000,25000
6,78.0,-7.158,-2.979,12.0,-8.5,-7.2,0,1,1,0,0,0,0,3,0,1,0,0,-0.6460000000000008,0.9000000000000004,-0.41300000000000026,-0.20000000000000018,2,0.0,25000,25000
7,78.0,-7.992,-3.653,12.0,-7.4,-7.0,1,0,1,0,1,0,0,3,0,1,0,0,-0.8339999999999996,1.0999999999999996,-0.6739999999999999,0.20000000000000018,7,0.0,25000,25000
8,78.0,-8.47,-4.373,12.0,-6.2,-7.1,1,0,1,0,0,0,0,3,0,1,0,0,-0.47800000000000065,1.2000000000000002,-0.7200000000000002,-0.09999999999999964,7,0.0,25000,25000
9,78.0,-9.004,-5.168,12.0,-4.8,-7.1,1,0,1,0,0,0,0,2,0,1,0,0,-0.5339999999999989,1.4000000000000004,-0.7949999999999999,0.0,2,0.0,25000,25000
10,78.0,-9.547,-6.121,12.0,-3.3,-7.1,1,0,1,0,0,1,0,2,0,1,0,0,-0.543000000000001,1.5,-0.9530000000000003,0.0,4,0.0,25000,25000
11,78.0,-10.11,-6.89,12.0,-1.8,-7.1,1,0,1,0,0,1,0,2,0,1,0,0,-0.5629999999999988,1.4999999999999998,-0.7689999999999992,0.0,2,0.0,25000,25000
12,78.0,-10.752,-7.125,12.0,-0.8,-4.7,1,0,0,1,0,0,0,2,0,1,0,0,-0.6420000000000012,1.0,-0.23500000000000032,2.3999999999999995,2,0.0,25000,25000
13,78.0,-9.669,-7.143,12.0,-0.8,-3.2,1,0,0,1,0,0,2,2,0,1,0,0,1.0830000000000002,0.0,-0.017999999999999794,1.5,6,0.0,25000,25000
14,78.0,-8.383,-7.168,12.0,-1.5,-2.5,1,0,0,1,0,0,2,2,0,1,0,0,1.2860000000000014,-0.7,-0.025000000000000355,0.7000000000000002,4,0.0,25000,25000
15,78.0,-7.588,-7.165,12.0,-2.6,-2.4,1,0,0,1,0,0,2,1,1,0,0,0,0.794999999999999,-1.1,0.0030000000000001137,0.10000000000000009,1,0.0,25000,25000
16,78.0,-7.2,-5.16,12.0,-4.0,-2.6,1,0,0,1,0,0,2,1,1,0,0,0,0.3879999999999999,-1.4,2.005,-0.20000000000000018,5,0.0,25000,25000
17,78.0,-6.947,-3.569,12.0,-5.6,-3.1,1,0,0,1,0,1,2,1,1,0,0,0,0.2530000000000001,-1.5999999999999996,1.5910000000000002,-0.5,4,0.0,25000,25000
18,78.0,-7.293,-3.102,12.0,-6.8,-3.6,1,0,1,0,1,1,2,1,0,0,1,0,-0.3460000000000001,-1.2000000000000002,0.4670000000000001,-0.5,3,0.0,25000,25000
