episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
5001,100.0,-9.578,-7.158,78.0,-13.6,-2.5,0,1,0,1,0,0,2,0,0,0,0,1,-0.7189999999999994,0.0,-0.11600000000000055,0.0,0,0,8,22
5002,100.0,-9.578,-7.166,78.0,-13.6,-2.5,0,1,0,1,0,0,2,0,1,0,0,0,0.0,0.0,-0.008000000000000007,0.0,1,0,8,22
5003,100.0,-9.469,-7.109,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,0,0,0,1,0.10899999999999999,0.0,0.057000000000000384,0.0,0,0,8,22
5004,100.0,-9.256,-5.038,78.0,-13.6,-2.5,0,1,0,1,0,0,1,0,0,0,0,1,0.2129999999999992,0.0,2.0709999999999997,0.0,5,0,8,22
5005,100.0,-9.106,-3.192,78.0,-13.6,-2.5,0,1,0,1,0,1,1,0,1,0,0,0,0.15000000000000036,0.0,1.846,0.0,1,0,8,22
5006,100.0,-9.019,-2.464,78.0,-13.6,-2.5,0,1,1,0,0,1,1,0,1,0,0,0,0.08699999999999974,0.0,0.7280000000000002,0.0,5,0,8,22
5007,100.0,-8.962,-3.463,78.0,-13.6,-2.5,0,1,0,1,0,1,1,3,1,0,0,0,0.057000000000000384,0.0,-0.9990000000000001,0.0,7,0,8,22
5008,100.0,-8.924,-5.167,78.0,-13.6,-2.5,0,1,0,1,0,0,1,3,1,0,0,0,0.038000000000000256,0.0,-1.7039999999999997,0.0,1,0,8,22
5009,100.0,-8.898,-6.391,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,0.0259999999999998,0.0,-1.2240000000000002,0.0,6,0,8,22
5010,100.0,-8.92,-7.063,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,-0.02200000000000024,0.0,-0.6719999999999997,0.0,4,0,8,22
5011,100.0,-8.874,-7.035,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,0.045999999999999375,0.0,0.02799999999999958,0.0,0,0,8,22
5012,100.0,-8.643,-7.06,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,0.23099999999999987,0.0,-0.024999999999999467,0.0,1,0,8,22
5013,100.0,-8.574,-7.117,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,1,0,0,0.06900000000000084,0.0,-0.057000000000000384,0.0,2,0,8,22
5014,100.0,-8.645,-7.128,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,-0.07099999999999973,0.0,-0.01100000000000012,0.0,1,0,8,22
5015,100.0,-8.654,-7.167,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,-0.009000000000000341,0.0,-0.0389999999999997,0.0,4,0,8,22
5016,100.0,-8.654,-7.165,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,0.0,0.0,0.0019999999999997797,0.0,4,0,8,22
5017,100.0,-8.654,-7.164,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,0.0,0.0,0.001000000000000334,0.0,1,0,8,22
5018,100.0,-8.561,-7.117,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,0,0,1,0.09299999999999997,0.0,0.04699999999999971,0.0,0,0,8,22
5019,100.0,-8.203,-7.025,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,0,0,0,1,0.35800000000000054,0.0,0.09199999999999964,0.0,0,0,8,22
5020,100.0,-9.084,-7.155,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,0,0,0,1,-0.8810000000000002,0.0,-0.1299999999999999,0.0,7,0,8,22
5021,100.0,-10.132,-7.166,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,0,0,0,1,-1.048,0.0,-0.01100000000000012,0.0,7,0,8,22
5022,100.0,-10.521,-7.156,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,0,0,0,1,-0.3890000000000011,0.0,0.010000000000000675,0.0,0,0,8,22
5023,100.0,-10.508,-7.165,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,0,0,1,0,0.013000000000001677,0.0,-0.009000000000000341,0.0,3,0,8,22
5024,100.0,-10.508,-5.16,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,0,0,1,0,0.0,0.0,2.005,0.0,5,0,8,22
5025,100.0,-10.726,-3.569,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,0,1,0,0,-0.21800000000000175,0.0,1.5910000000000002,0.0,2,0,8,22
5026,100.0,-10.851,-2.83,78.0,-13.6,-2.5,0,1,0,1,0,1,0,0,0,0,0,1,-0.125,0.0,0.7389999999999999,0.0,0,0,8,22
5027,100.0,-10.736,-2.782,78.0,-13.6,-2.5,0,1,0,1,0,1,0,0,0,0,1,0,0.11500000000000021,0.0,0.04800000000000004,0.0,3,0,8,22
5028,100.0,-10.651,-3.353,78.0,-13.6,-2.5,0,1,0,1,0,1,0,0,0,0,1,0,0.08500000000000085,0.0,-0.5710000000000002,0.0,5,0,8,22
5029,100.0,-10.603,-3.99,78.0,-13.6,-2.5,0,1,0,1,0,0,0,0,0,0,1,0,0.04800000000000004,0.0,-0.637,0.0,5,0,8,22
5030,100.0,-10.571,-4.634,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,1,0,0.03200000000000003,0.0,-0.6440000000000001,0.0,7,0,8,22
5031,100.0,-10.38,-5.538,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,0,0,1,0.19099999999999895,0.0,-0.9039999999999999,0.0,0,0,8,22
5032,100.0,-9.95,-6.324,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,0.4300000000000015,0.0,-0.7859999999999996,0.0,1,0,8,22
5033,100.0,-9.725,-7.198,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,1,0,0,0,0.22499999999999964,0.0,-0.8740000000000006,0.0,7,0,8,22
5034,100.0,-9.843,-7.108,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,1,0,0,-0.11800000000000033,0.0,0.09000000000000075,0.0,2,0,8,22
5035,100.0,-10.052,-5.322,78.0,-13.6,-2.5,0,1,0,1,0,0,0,3,0,1,0,0,-0.20899999999999963,0.0,1.7859999999999996,0.0,5,0,8,22
5036,100.0,-10.187,-3.529,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,0,1,0,-0.1349999999999998,0.0,1.7930000000000001,0.0,3,0,8,22
5037,100.0,-10.277,-3.121,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,0,0,1,0,-0.08999999999999986,0.0,0.4079999999999999,0.0,3,0,8,22
5038,100.0,-10.336,-3.387,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,0,0,1,0,-0.05900000000000105,0.0,-0.266,0.0,3,0,8,22
5039,100.0,-10.38,-2.533,78.0,-13.6,-2.5,0,1,0,1,0,1,2,2,0,0,1,0,-0.04400000000000048,0.0,0.8540000000000001,0.0,6,0,8,22
