episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
35001,100.0,12.0,-3.6,12.0,12.0,-7.1,0,0,1,0,1,0,0,1,0,0,0,1,4.4,0.09999999999999964,3.4999999999999996,0.0,0,0.0,84,437
35002,100.0,11.8,-3.0,12.0,12.1,-7.1,1,0,1,0,1,0,0,1,1,0,0,0,-0.1999999999999993,0.09999999999999964,0.6000000000000001,0.0,1,0.0,84,437
35003,100.0,11.1,-0.1,12.0,11.7,-7.1,1,0,1,0,1,0,0,1,1,0,0,0,-0.7000000000000011,-0.40000000000000036,2.9,0.0,7,0.0,84,437
35004,100.0,10.0,1.4,12.0,11.9,-7.1,1,0,1,0,0,0,2,0,1,0,0,0,-1.0999999999999996,0.20000000000000107,1.5,0.0,6,0.0,84,437
35005,100.0,8.5,2.1,12.0,12.0,-7.0,1,0,1,0,0,0,2,3,1,0,0,0,-1.5,0.09999999999999964,0.7000000000000002,0.09999999999999964,7,0.0,84,437
35006,100.0,6.7,2.2,12.0,12.0,-7.0,1,0,1,0,0,0,2,3,1,0,0,0,-1.7999999999999998,0.0,0.10000000000000009,0.0,7,0.0,84,437
35007,100.0,5.0,1.9,12.0,11.9,-7.1,1,0,1,0,0,0,2,3,1,0,0,0,-1.7000000000000002,-0.09999999999999964,-0.30000000000000027,-0.09999999999999964,7,0.0,84,437
35008,100.0,3.2,1.4,12.0,11.8,-7.1,1,0,1,0,0,0,2,3,1,0,0,0,-1.7999999999999998,-0.09999999999999964,-0.5,0.0,7,0.0,84,437
35009,100.0,1.2,0.7,12.0,11.6,-5.0,1,0,1,0,0,0,1,3,1,0,0,0,-2.0,-0.20000000000000107,-0.7,2.0999999999999996,5,0.0,84,437
35010,100.0,-0.7,-0.1,12.0,11.6,-3.5,1,0,1,0,0,0,1,2,1,0,0,0,-1.9,0.0,-0.7999999999999999,1.5,4,0.0,84,437
35011,100.0,-2.6,-0.9,12.0,11.3,-3.0,1,0,1,0,0,0,1,2,0,1,0,0,-1.9000000000000001,-0.29999999999999893,-0.8,0.5,2,0.0,84,437
35012,100.0,-4.7,-1.9,12.0,10.9,-3.0,1,0,1,0,0,0,1,2,0,1,0,0,-2.1,-0.40000000000000036,-0.9999999999999999,0.0,7,0.0,84,437
35013,100.0,-6.7,-2.8,12.0,10.7,-3.3,1,0,1,0,0,1,1,2,0,1,0,0,-2.0,-0.20000000000000107,-0.8999999999999999,-0.2999999999999998,7,0.0,84,437
35014,100.0,-9.1,-3.7,12.0,10.5,-3.8,1,0,1,0,0,1,1,2,0,1,0,0,-2.3999999999999995,-0.1999999999999993,-0.9000000000000004,-0.5,7,0.0,84,437
35015,100.0,-11.9,-4.7,12.0,12.1,-4.5,1,0,0,1,0,1,0,2,0,1,0,0,-2.8000000000000007,1.5999999999999996,-1.0,-0.7000000000000002,7,0.0,84,437
35016,100.0,-12.0,-5.3,12.0,12.2,-4.9,1,0,0,1,0,1,0,1,0,1,0,0,-0.09999999999999964,0.09999999999999964,-0.5999999999999996,-0.40000000000000036,7,0.0,84,437
35017,100.0,-11.3,-5.9,12.0,12.2,-5.4,1,0,0,1,0,1,0,1,0,1,0,0,0.6999999999999993,0.0,-0.6000000000000005,-0.5,7,0.0,84,437
35018,100.0,-10.0,-6.7,12.0,12.2,-6.2,1,0,0,1,0,1,0,1,0,1,0,0,1.3000000000000007,0.0,-0.7999999999999998,-0.7999999999999998,7,0.0,84,437
35019,100.0,-8.7,-7.1,12.0,12.2,-4.5,1,0,0,1,0,0,0,1,0,1,0,0,1.3000000000000007,0.0,-0.39999999999999947,1.7000000000000002,5,0.0,84,437
35020,100.0,-7.5,-7.0,12.0,12.2,-3.4,1,0,0,1,0,0,0,1,0,1,0,0,1.1999999999999993,0.0,0.09999999999999964,1.1,7,0.0,84,437
35021,100.0,-6.0,-7.0,12.0,12.2,-0.7,1,0,0,1,0,0,0,1,0,1,0,0,1.5,0.0,0.0,2.7,5,0.0,84,437
35022,100.0,-4.6,-7.0,12.0,12.2,1.1,1,0,0,1,0,0,0,0,0,0,0,1,1.4000000000000004,0.0,0.0,1.8,0,0.0,84,437
35023,100.0,-3.1,-7.0,12.0,12.1,1.9,1,0,0,1,0,0,0,0,1,0,0,0,1.4999999999999996,-0.09999999999999964,0.0,0.7999999999999998,1,0.0,84,437
35024,100.0,-1.4,-7.1,12.0,12.1,2.0,1,0,0,1,0,0,0,0,0,0,0,1,1.7000000000000002,0.0,-0.09999999999999964,0.10000000000000009,0,0.0,84,437
35025,100.0,0.1,-7.1,12.0,12.2,1.9,1,0,0,1,0,0,0,0,0,0,0,1,1.5,0.09999999999999964,0.0,-0.10000000000000009,0,0.0,84,437
35026,100.0,1.7,-7.1,12.0,12.2,1.6,1,0,0,1,0,0,0,0,0,0,0,1,1.5999999999999999,0.0,0.0,-0.2999999999999998,0,0.0,84,437
35027,100.0,3.4,-7.1,12.0,12.2,1.3,1,0,0,1,0,0,0,0,0,0,0,1,1.7,0.0,0.0,-0.30000000000000004,0,0.0,84,437
35028,100.0,4.9,-7.1,12.0,12.2,0.9,1,0,0,1,0,0,0,0,1,0,0,0,1.5000000000000004,0.0,0.0,-0.4,1,0.0,84,437
35029,100.0,6.4,-7.1,12.0,12.2,-1.6,1,0,0,1,0,0,2,0,1,0,0,0,1.5,0.0,0.0,-2.5,6,0.0,84,437
35030,100.0,8.2,-7.1,12.0,12.2,-5.3,1,0,0,1,0,0,2,3,1,0,0,0,1.799999999999999,0.0,0.0,-3.6999999999999997,7,0.0,84,437
35031,100.0,9.7,-7.0,12.0,12.2,-7.2,1,0,1,0,0,1,2,3,1,0,0,0,1.5,0.0,0.09999999999999964,-1.9000000000000004,4,0.0,84,437
35032,100.0,10.9,-5.3,12.0,12.2,-7.2,1,0,1,0,0,0,2,3,1,0,0,0,1.200000000000001,0.0,1.7000000000000002,0.0,1,0.0,84,437
35033,100.0,10.9,-2.9,12.0,12.2,-7.2,1,0,1,0,0,0,2,3,1,0,0,0,0.0,0.0,2.4,0.0,7,0.0,84,437
35034,100.0,8.8,-0.0,12.0,12.2,-7.2,1,0,1,0,0,0,2,3,1,0,0,0,-2.0999999999999996,0.0,2.9,0.0,7,0.0,84,437
35035,100.0,6.8,1.2,12.0,12.2,-7.2,1,0,1,0,0,0,1,3,1,0,0,0,-2.000000000000001,0.0,1.2,0.0,7,0.0,84,437
35036,100.0,4.5,1.8,12.0,12.2,-7.2,1,0,1,0,0,0,1,2,1,0,0,0,-2.3,0.0,0.6000000000000001,0.0,7,0.0,84,437
35037,100.0,2.6,1.8,12.0,12.2,-7.2,1,0,1,0,0,0,1,2,1,0,0,0,-1.9,0.0,0.0,0.0,6,0.0,84,437
35038,100.0,0.6,1.5,12.0,12.2,-4.9,1,0,1,0,0,0,1,2,1,0,0,0,-2.0,0.0,-0.30000000000000004,2.3,5,0.0,84,437
35039,100.0,-1.5,1.0,12.0,12.2,-3.6,1,0,1,0,0,0,1,2,0,0,1,0,-2.1,0.0,-0.5,1.3000000000000003,3,0.0,84,437
35040,100.0,-3.5,0.2,12.0,12.2,-3.1,1,0,1,0,0,0,1,2,0,0,1,0,-2.0,0.0,-0.8,0.5,7,0.0,84,437
35041,100.0,-5.4,-0.6,12.0,12.2,-3.2,1,0,1,0,0,0,0,2,0,0,1,0,-1.9000000000000004,0.0,-0.8,-0.10000000000000009,6,0.0,84,437
